rank,word,count,zipf
780,offiziell,60,46800
781,preußischen,60,46860
782,gründen,60,46920
783,fläche,60,46980
784,gesell,60,47040
785,frau,59,46315
786,römischen,59,46374
787,aussage,59,46433
788,herstellung,59,46492
789,inneren,59,46551
790,bekannte,59,46610
791,ag,59,46669
792,karl,59,46728
793,englischen,59,46787
794,union,59,46846
795,außer,59,46905
796,bleibt,59,46964
797,entsprechend,59,47023
798,markt,59,47082
799,grecos,59,47141
800,boden,59,47200
801,schiffe,59,47259
802,istdie,58,46516
803,starke,58,46574
804,höheren,58,46632
805,gerade,58,46690
806,beziehungen,58,46748
807,mann,58,46806
808,neun,58,46864
809,unabhängigkeit,58,46922
810,betrug,58,46980
811,forschung,58,47038
812,natürlichen,58,47096
813,musik,58,47154
814,inzwischen,58,47212
815,problem,58,47270
816,manchmal,58,47328
817,einwohnern,58,47386
818,indische,58,47444
819,base,58,47502
820,nicholson,58,47560
821,entsteht,57,46797
822,teils,57,46854
823,späten,57,46911
824,einzelne,57,46968
825,wenigen,57,47025
826,darstellung,57,47082
827,tritt,57,47139
828,erschien,57,47196
829,verbreitet,57,47253
830,jedes,57,47310
831,selben,57,47367
832,körper,57,47424
833,gebieten,57,47481
834,sünde,57,47538
835,schweriner,57,47595
836,mannschaft,57,47652
837,baseball,57,47709
838,inseln,56,46928
839,starken,56,46984
840,gebiete,56,47040
841,gott,56,47096
842,sollen,56,47152
843,kontakt,56,47208
844,fanden,56,47264
845,französische,56,47320
846,trotz,56,47376
847,erreichen,56,47432
848,dient,56,47488
849,besser,56,47544
850,öffentliche,56,47600
851,ebene,56,47656
852,sieht,56,47712
853,zustand,56,47768
854,übertragung,56,47824
855,medien,56,47880
856,schule,56,47936
857,regisseur,56,47992
858,iwf,56,48048
859,zuletzt,55,47245
860,zeichen,55,47300
861,mittelalter,55,47355
862,folgte,55,47410
863,blieben,55,47465
864,katholischen,55,47520
865,machen,55,47575
866,mittlerweile,55,47630
867,wesentlichen,55,47685
868,daraus,55,47740
869,organisation,55,47795
870,geprägt,55,47850
871,bürger,55,47905
872,kritik,55,47960
873,digitale,55,48015
874,städten,55,48070
875,südlichen,55,48125
876,osten,55,48180
877,älteste,55,48235
878,bosporus,55,48290
879,energie,54,47466
880,rom,54,47520
881,dritte,54,47574
882,großbritannien,54,47628
883,miteinander,54,47682
884,gar,54,47736
885,öffentlichkeit,54,47790
886,welcher,54,47844
887,studie,54,47898
888,europäische,54,47952
889,hamburg,54,48006
890,ehemalige,54,48060
891,pascal,54,48114
892,verfügt,54,48168
893,natürliche,54,48222
894,ford,54,48276
895,batter,54,48330
896,bedeutende,53,47488
897,sah,53,47541
898,gemacht,53,47594
899,zugleich,53,47647
900,behandlung,53,47700
901,künstler,53,47753
902,literatur,53,47806
903,grundlage,53,47859
904,gründung,53,47912
905,spanischen,53,47965
906,per,53,48018
907,nennt,53,48071
908,spitze,53,48124
909,vielzahl,53,48177
910,bezeichnete,53,48230
911,hansestadt,53,48283
912,kirchen,53,48336
913,westlichen,53,48389
914,konstanz,53,48442
915,o,53,48495
916,bundestagswahl,53,48548
917,pfeffer,53,48601
918,dahin,52,47736
919,schutz,52,47788
920,schloss,52,47840
921,daraufhin,52,47892
922,früheren,52,47944
923,bezug,52,47996
924,höchste,52,48048
925,gleich,52,48100
926,präsident,52,48152
927,staatlichen,52,48204
928,dienen,52,48256
929,breite,52,48308
930,griechischen,52,48360
931,nutzung,52,48412
932,kabelfernsehen,52,48464
933,filmen,52,48516
934,leistung,52,48568
935,wahlen,52,48620
936,hölle,52,48672
937,raupen,52,48724
938,jean,52,48776
939,basketball,52,48828
940,laplace,52,48880
941,würden,51,47991
942,nahezu,51,48042
943,bevor,51,48093
944,erfolg,51,48144
945,bekannten,51,48195
946,gemeinsame,51,48246
947,unterschied,51,48297
948,elemente,51,48348
949,hoch,51,48399
950,unterscheiden,51,48450
951,druck,51,48501
952,kleiner,51,48552
953,heutige,51,48603
954,kontrolle,51,48654
955,allgemeine,51,48705
956,stimmen,51,48756
957,menge,51,48807
958,gleiche,51,48858
959,könnte,51,48909
960,private,51,48960
961,afrika,51,49011
962,wichtigen,51,49062
963,uhr,51,49113
964,nördlich,51,49164
965,errichtet,51,49215
966,blätter,51,49266
967,implikation,51,49317
968,monate,50,48400
969,zwölf,50,48450
970,starb,50,48500
971,ausdruck,50,48550
972,heinrich,50,48600
973,versucht,50,48650
974,nie,50,48700
975,wäre,50,48750
976,entsprechenden,50,48800
977,lateinischen,50,48850
978,linken,50,48900
979,einheit,50,48950
980,luft,50,49000
981,schwarzen,50,49050
982,roberts,50,49100
983,teilchen,49,48167
984,grüne,49,48216
985,seien,49,48265
986,wahrscheinlich,49,48314
987,theorie,49,48363
